,input,reply
6712,is the voltage 110 240xff1fxff1f,yes it is
6713,what is the total watts output,dont know
6714,does it work on a 5th generation,i dont know
6715,how is the battery life,about 5 hours
6716,which is betterhd558 or this,this
6717,is this compatible with the tf300t,yes it is
6718,what is the diameterthickness on the center post,15 inches
6719,is there a cut for the microphone on mini retina,yes there is
6720,will it fit a 18 140mmlens with a 67mmthread,yes it will
6721,hi is the ram expandible,dont know sorry
6722,is this usb connector,yes it is
6723,how far out from the wall will this mount extend,20 inches
6724,will this work on samsung galaxy 5,yes it will
6725,does this pen work with citiq 12wx,yes works great
6726,is this a coiled cable or a straight cable,straight
6727,is the cable straight or coiled,straight
6728,can my ipod be charged by the unit,yes it can
6729,will this case fit the ipad mini with retina display,it should
6730,does this work with the lg 83 tablet,i dont know
6731,do these speakers have cloth cover over front speakers,no they dont
6732,is it clear,yes its clear
6733,whats the language in the cameraenglishchineseor both,both
6734,will a landline phone give a false reading,yes it will
6735,does this one have warranty,i think so
6736,is the power supply of the cable modem automatic 100 240v,yes it is
6737,is this device compatible with windows xp,yes it is
6738,will this work with the ipad air 2,yes it should
6739,how long is the cord,about 51 inches
6740,does this work with iphone 5c,yes it will
6741,does this work with the moen 7594esrs arbor,it should
6742,is there a built in screen protector on these cases,no there isnt
6743,does it compatible with windows 81,yes it is
6744,does this case fit the sx40hs,sorry no
6745,how much does it weigh,what
6746,is this a keyboard or a case,both
6747,will this work with the current mac mini late 2012,yes it will
6748,this bottom base fit to my model toshiba satellite c655d s5234,yes it will
6749,spanishenglish only,both
6750,you shiping in france,sorry no
6751,how tall is this,about 42 inches
6752,do these hand sets have speakerphone,yes they do
6753,works with windows 8,perfectly
6754,will this work with 220v power,yes it will
6755,are these sold as a pair,yes they are
6756,does anyone know where this projector is made,made in china
6757,will this charger replace 613149 001,yes it will
6758,is this an art lens,yes it is
6759,do the fans have molex and 43 pin connectors,yes they do
6760,are these glasses compatible epson projectors 6020ub,i dont know
6761,how long is this cord,11 inches
6762,wha is length of the cord,47 inches
6763,can front cover fold over behind tablet,yes it can
6764,is this made in china or thailand,thailand
6765,will this case fit the ipad 32gb,yes it will
6766,will this case fit the 4th generation ipad,yes it will
6767,can you please tell me if this tablet is unlocked,yes it is
6768,support bluetooth,no bluetooth
6769,the charger is us socket,yes it is
6770,is this hard drive compatible with my samsung rv511 a01 notebook,yes it is
6771,will this flash work wiht panasonic dmc fz 200,yes it will
6772,does it work with cannon 5d mark 2,perfectly
6773,where is this mouse made please,made in china
6774,is this one is the 3rd generation,yes it is
6775,will this work on on the asus transformer pad tf103c,i dont know
6776,how tall is this stand,about 13 inches
6777,is this for 2012 dna,yes it is
6778,how is the quality of the camera,pretty good
6779,hi i have samsung p7500 the tech armor way,what
6780,is this guaranteed to charge my ipad 4th generation,yes it is
6781,how good are the speaker phone functions,pretty good
6782,does this include the cord as well,yes it is
6783,is it compatible with macbook pro 13 mid 2012 md101lla,yes it is
6784,are the adapter rings metal,yes they are
6785,do these work with the diver underwater mp3 player,yes very well
6786,is this cable compatible with a plasma 3d television,yes it is
6787,does it work with a canon 60d,yes they do
6788,its is spanish lenguage preloaded ty,yes there is
6789,will this device auto connect specifically to an iphone 5,yes it will
6790,cat5 connection or wireless only,both
6791,do they work with an i pad,yes they do
6792,is there room for the passport and a usb cable,yes there is
6793,its compatible with google play store,yes it is
6794,is it wi fi,yes it is
6795,will this cable work with windows vista,yes it will
6796,will this fit a 46 in samsung,yes it will
6797,is the case magnetic closure,yes it is
6798,is this keyboard wireless or wired,wired
6799,will my iphone 5 fit in a slim incipio case,yes it should
6800,does this tv have a digital tuner atsc,dont know
6801,is it working on all merchant credit cards processing,yes it is
6802,is it a 64 bit operating system,yes it is
6803,will this adapter work with a motorola cp185 hand held,it should
6804,where is this camera manufactured,made in china
6805,will this fit the new ipad mini,perfectly
6806,do the softboxes come with white coverface,yes they do
6807,does this have bluetooth,no bluetooth
6808,can this product use the lightning adapter to work,yes it can
6809,is this card compatible with lenovo thinkpad x130e model0622 2fu,yes it is
6810,is this a matte or glossy display,its matte
6811,is the screen matte or glossy,its matte
6812,is there an sd card slot,yes there is
6813,is the battery rechargeable,yes it is
6814,are there any pci slots,no there isnt
6815,what is the widht of the wall bracket,26 inches
6816,whats the overall length,about 6 inches
6817,will a 80211g computer connect to this router,yes it will
6818,this is new 2014 model with 1g of ram,yes it is
6819,are the keyboard and mouse that come with this wireless,wired
6820,is the refresh rate 60 or 120,its 60
6821,is this compatible with mac and pc,yes it is
6822,how much amps does the power supply have,i dont know
6823,does this camera have the multi interface shoe,dont know
6824,will this work with the olympus mirrorless camera om d e m1,yes it will
6825,does this product work with i pod,yes quite well
6826,the certificate is included in this item,absolutely
6827,does it fit for macbook pro,yes it fits
6828,is that working on this receiver openbox x5 iptv,yes it works
6829,will it work in a samsung galaxy tab 4 80 inch,it should
6830,is it powered by ac,it is
6831,how many hour does the battery last,4 hours
6832,will this work with my galaxysii,yes it will
6833,will this work on a kindle,yes it should
6834,how long does the battery last,about 3 hours
6835,is the blue tooth streaming quality as good as cd,yes it is
6836,will this unit fit a 2006 lt malibu,sure will
6837,would worldoftanks work on this,yes it will
6838,what is the duration of the warranty,one year
6839,will this film work with the polaroid z2300 camera,yes it will
6840,will it work with e7450,yes it will
6841,is it dual core,i think so
6842,is this a laser mouse,yes it is
6843,will this adapter work with samsung tablet 2,yes it will
6844,whats the range,around ten feet
6845,can it be turned side ways for landscape shots,yes it can
6846,will this work with a kindle fire hdx,yes it will
6847,will it fit a pioneer pl 560 model,dont know sorry
6848,is this tv arc installed,yes it is
6849,is there a webcam,yes there is
6850,is there an ethernet port,yes there is
6851,what is the overall width out of the box,46 inches
6852,will this fit my 1997 gmc sierra,yes it will
6853,can the headphone amp drive a 600 ohm headphone,yes of course
6854,is the stand actually black or silver,mine is black
6855,does it have usb ports,yes it has
6856,how much does it weigh,10 ounces
6857,would this fit a gtx 760 and a i5 processor,yes it will
6858,does it come with a remote control,yes of course
6859,warranty,one year
6860,this is for galaxy tablet gt n8000,yes it is
6861,will chromecast work if connected to this tvs hdmi,yes it will
6862,can it get shipped with just windows pro 64,yes it can
6863,will these glasses do dual play for splitscreen video games,sorry dont know
6864,can it play cds,yes it can
6865,will it fit a 27 inch samsung monitor,yes perfectly
6866,will this work with the kindle fire hd 7,yes it will
6867,is windows 7 64 bit version,yes it is
6868,will it fit an ipad mini,it should
6869,will this fit the kindle fire hd previous generation,yes it will
6870,will it attach to a tripod,yes it will
6871,is this a mono block,yes it is
6872,what is the the footprint diameter,about 31 inches
6873,can you play regular dvds or only blu ray dvds,both
6874,is this camera capable of taking panoramic shots,yes it can
6875,will this case work with a msi z87 g45 motherboard,yes it will
6876,will this receiver output airplay content to zone 2,yes it can
6877,what does the wrls mean with this controller,wireless
6878,does this come with an international wrranty,unfortunately no
6879,is there red eye reduction,yes there is
6880,what is the standart warranty in this camera,one year
6881,is this a 2 amp charger,yes it is
6882,is this compatible to samsung 7 180003 it looks smaller,yes it is
6883,does this work with pn60f8500 model tv,yes it works
6884,is this the oem blackberry charger bundle,yes it is
6885,how long does the tripod extend to,72 inches
6886,how small does the monopod and tripod collapse to,24 inches
6887,will this work on a audiovox xm xpress 136 4773,dont know
6888,is the bracket made of metal,yes it is
